start,end,duration,note,midi,frequency_hz,estimated_midi,confidence,method
112.547,112.64,0.093,A#6,94,1864.66,94.05,0.722,
117.412,117.539,0.128,G#6,92,1661.22,91.85,0.827,
117.841,118.079,0.238,D6,86,1174.66,85.9,0.819,
118.236,118.457,0.221,C#6,85,1108.73,85.0,0.393,
119.618,119.774,0.157,E6,88,1318.51,88.4,0.686,
119.995,120.146,0.151,B5,83,987.77,83.2,0.919,
123.669,123.832,0.163,F#6,90,1479.98,90.5,0.891,
123.832,123.954,0.122,G#6,92,1661.22,92.1,0.946,
123.954,124.227,0.273,A#6,94,1864.66,93.9,0.946,
124.227,124.372,0.145,A6,93,1760.0,92.9,0.757,
124.471,124.952,0.482,A#6,94,1864.66,94.4,0.891,
124.993,125.26,0.267,D6,86,1174.66,86.05,0.735,
126.787,126.891,0.104,G#6,92,1661.22,91.9,0.301,
131.611,131.733,0.122,A6,93,1760.0,92.8,0.946,
131.733,131.895,0.163,A#6,94,1864.66,94.0,0.985,
132.331,132.47,0.139,C#6,85,1108.73,85.32,0.357,
132.54,132.743,0.203,A#6,94,1864.66,94.0,0.946,
133.108,133.242,0.134,F#5,78,739.99,78.1,0.485,
133.329,133.579,0.25,A#6,94,1864.66,93.7,0.686,
133.579,133.689,0.11,G#6,92,1661.22,92.1,0.946,
133.7,133.793,0.093,G6,91,1567.98,90.7,0.722,
138.321,138.513,0.192,B6,95,1975.53,94.6,0.946,
138.995,139.221,0.226,D6,86,1174.66,86.5,0.553,
139.297,139.54,0.244,A#6,94,1864.66,94.4,0.946,
144.689,144.771,0.081,G6,91,1567.98,91.25,0.919,
144.771,144.91,0.139,B6,95,1975.53,94.55,0.372,
144.91,145.003,0.093,G#6,92,1661.22,91.65,0.722,
145.107,145.299,0.192,B6,95,1975.53,95.35,0.985,
145.357,145.473,0.116,D6,86,1174.66,86.4,0.581,
145.966,146.059,0.093,A#6,94,1864.66,94.18,0.827,
146.895,146.994,0.099,A#6,94,1864.66,94.35,0.549,
150.657,150.93,0.273,B6,95,1975.53,94.8,0.686,
151.336,151.568,0.232,A6,93,1760.0,92.6,0.686,
156.253,156.369,0.116,G#6,92,1661.22,92.2,0.426,
156.375,156.561,0.186,C7,96,2093.0,95.5,0.946,
156.682,156.845,0.163,E6,88,1318.51,87.55,0.824,
